,Title,Views,Url
84,O NOVO JOGO DO POKÉMON! - Pokémon Sleep,141 mil visualizações,https://www.youtube.com/watch?v=DIGY_WOJgP8
85,FUI NO LOCAL DA BATALHA DOS 300 DE ESPARTA.,78 mil visualizações,https://www.youtube.com/watch?v=0IR5mTwLT54
86,FUI PRESO NA GRÉCIA!,309 mil visualizações,https://www.youtube.com/watch?v=bCBNBHEjnV0
87,CONTAMOS (quase) TUDO SOBRE A VIAGEM!,90 mil visualizações,https://www.youtube.com/watch?v=_4zpWanzEnM
88,A NOVA REDE SOCIAL! - THREADS,408 mil visualizações,https://www.youtube.com/watch?v=zfFMa0lI1sQ
89,Não vou admitir isso!,137 mil visualizações,https://www.youtube.com/watch?v=BpJAOCmTXJ0
90,A VIDA IMITANDO A ARTE!,151 mil visualizações,https://www.youtube.com/watch?v=wnIyKomjtzM
91,NÃO ATUALIZE O SEU NINTENDO 3DS!,226 mil visualizações,https://www.youtube.com/watch?v=iLYM2QPm8RI
92,A MARVEL SÓ ESTÁ LANÇANDO COISA RUIM!,291 mil visualizações,https://www.youtube.com/watch?v=_ZC7MVwDyU0
93,O SWITCH da PLAYSTATION? - Project Q,270 mil visualizações,https://www.youtube.com/watch?v=kXSd5scejpk
94,VAMOS TER QUE VIAJAR PARA...,231 mil visualizações,https://www.youtube.com/watch?v=66bi-Uy8_xk
95,Liberdade de Expressão e Responsabilidade,120 mil visualizações,https://www.youtube.com/watch?v=Ne1jW82oKBQ
96,USARAM ChatGPT NA ESCOLA e OLHA NO QUE DEU!,499 mil visualizações,https://www.youtube.com/watch?v=7aCdjDpP2ok
97,NINGUÉM LEVA A SERIO OS MEUS SONHOS!,79 mil visualizações,https://www.youtube.com/watch?v=6jjACVRDzXE
98,O TWITTER VAI MUDAR DE NOVO?,202 mil visualizações,https://www.youtube.com/watch?v=EkuJmVz3urE
99,PARIS NÃO É TUDO ISSO!,329 mil visualizações,https://www.youtube.com/watch?v=dr9tt18P1oI
100,VOCÊ SABE A HISTÓRIA DO SEU SOBRENOME?,210 mil visualizações,https://www.youtube.com/watch?v=HSIUwPID2dk
101,Qual smartphone a gente usa?,453 mil visualizações,https://www.youtube.com/watch?v=lZHKnrwabCM
102,BASTIDORES do LEON JOGANDO O NOVO ZELDA!,149 mil visualizações,https://www.youtube.com/watch?v=P5_De6bV1hE
103,XBOX EM CRISE?!,389 mil visualizações,https://www.youtube.com/watch?v=KkRmjE2OYqk
104,A VERDADEIRA HISTÓRIA DA GRÉCIA,314 mil visualizações,https://www.youtube.com/watch?v=DbrYK5tv1BI
105,Conseguiram FILMAR um FANTASMA DE VERDADE?,143 mil visualizações,https://www.youtube.com/watch?v=jbLfu60pWaE
106,REAGINDO ÀS 10 MELHORES COZINHAS DO MUNDO,511 mil visualizações,https://www.youtube.com/watch?v=bInpdIjm3pI
107,Lançaram um filme do jogo TETRIS!,196 mil visualizações,https://www.youtube.com/watch?v=LreAl6d8tkU
108,O DIA QUE EU DORMI NA RUA,111 mil visualizações,https://www.youtube.com/watch?v=M70MW019Gjw
109,JOGAR TAMBÉM É TRABALHO!,147 mil visualizações,https://www.youtube.com/watch?v=LncIEldIqTM
110,VEJA O QUE MUDOU EM 1 ANO DE AVANÇOS da INTELIGÊNCIA ARTIFICIAL,175 mil visualizações,https://www.youtube.com/watch?v=f56DKx1UORo
111,TESTANDO o Chat Bing vs ChatGPT,179 mil visualizações,https://www.youtube.com/watch?v=pdbiL_WT7T8
112,O FIM DA LINHA PRO TWITTER?,226 mil visualizações,https://www.youtube.com/watch?v=c1up76bsNbo
113,ASSISTIMOS O FILME DO MARIO!,264 mil visualizações,https://www.youtube.com/watch?v=JmVLKc164eE
114,Os 20 Melhores Vídeo Games ONDE???,297 mil visualizações,https://www.youtube.com/watch?v=C0rKULBayOo
115,A Nintendo está DERRUBANDO vídeos no Youtube,226 mil visualizações,https://www.youtube.com/watch?v=9eK695XbaKI
116,O ESPERADO ACONTECEU!,579 mil visualizações,https://www.youtube.com/watch?v=XFM-e9GJ7x8
117,OS BEATLES foram ESQUECIDOS?,138 mil visualizações,https://www.youtube.com/watch?v=NEwbwmat-IE
118,Fala o que quer? Depois não reclama...,401 mil visualizações,https://www.youtube.com/watch?v=Kb85dxtkFFU
119,FRANQUIAS NOSTÁLGICAS ESTÃO VOLTANDO COM TUDO,275 mil visualizações,https://www.youtube.com/watch?v=D4X-SBUMgLc
120,NOVOS FILMES DO STAR WARS!,91 mil visualizações,https://www.youtube.com/watch?v=XTYGjFTRm9w
121,O FILME DO MARIO AZEDOU NAS CRÍTICAS,145 mil visualizações,https://www.youtube.com/watch?v=gnk-nlw-1Do
122,REAGINDO ÀS 25 MELHORES ANIMAÇÕES,818 mil visualizações,https://www.youtube.com/watch?v=OVOcQ_1-9NM
123,POR QUE O DISCURSO RED PILL É PERIGOSO?,97 mil visualizações,https://www.youtube.com/watch?v=TCq2Q_hQ6ck
124,A PROFESSORA FOI DEMITIDA POR ENSINAR ARTE CLÁSSICA,446 mil visualizações,https://www.youtube.com/watch?v=IuiZLDAWPpU
125,"A LIVE DO CAOS com Soneca, Pizza e Felipe Neto",154 mil visualizações,https://www.youtube.com/watch?v=HDbA1AyBgo0
126,A TRETA das BLOGUEIRAS DE MAQUIAGEM!,121 mil visualizações,https://www.youtube.com/watch?v=KODb05WagLY
127,CANCELANDO MEU PRÓPRIO MARIDO,154 mil visualizações,https://www.youtube.com/watch?v=mltV_CVckqM
128,E3 FOI CANCELADA! E agora?,84 mil visualizações,https://www.youtube.com/watch?v=1AHkYQbXOA8
129,SURPRESA!,84 mil visualizações,https://www.youtube.com/watch?v=7o-cBVB5bG0
130,R.I.P COISA DE NERD,139 mil visualizações,https://www.youtube.com/watch?v=Qz0C5LG1Cbc
131,NOSSO SOFRIMENTO É O SEU ENTRETENIMENTO - Termo e Contexto,147 mil visualizações,https://www.youtube.com/watch?v=u4MNI4yHREk
132,O FILME DO MARIO!,75 mil visualizações,https://www.youtube.com/watch?v=wOmahYbCFEM
133,Como foi nossa experiência no parque do Mario em Los Angeles,116 mil visualizações,https://www.youtube.com/watch?v=HU8yFcfEotM
134,Adolescência NÃO é a melhor fase da vida,102 mil visualizações,https://www.youtube.com/watch?v=EKU5hB6ce6o
135,Testamos a inteligência do ChatGPT ao vivo!,102 mil visualizações,https://www.youtube.com/watch?v=aoBdlrYsFcY
136,NÃO VIAJE SEM LEVAR ESSES ÍTENS!,319 mil visualizações,https://www.youtube.com/watch?v=qTVzSxEVwks
137,NOSSA VIDA EM DESENHOS!,150 mil visualizações,https://www.youtube.com/watch?v=VZXICraiQEs
138,Teste pra saber se é afinado!,82 mil visualizações,https://www.youtube.com/watch?v=QZWRaJuGo2U
139,A gente acertou quem ganharia o Oscar?,190 mil visualizações,https://www.youtube.com/watch?v=qTQb7ouWaiY
140,"O ""GEOGUESSR TEMPORAL"". Acertamos tudo?",187 mil visualizações,https://www.youtube.com/watch?v=SJatiTAbWO0
141,PERRENGUES de INÍCIO DE CARREIRA,357 mil visualizações,https://www.youtube.com/watch?v=MhnnREC9wEI
142,Histórias BIZARRAS de trabalho,174 mil visualizações,https://www.youtube.com/watch?v=BNgoBJKsn3U
143,FUI MORAR em uma REPÚBLICA TERRÍVEL!,87 mil visualizações,https://www.youtube.com/watch?v=P4tOkhgS69o
144,REAGINDO AO VÍDEO FOFO DO FELIPE NETO,253 mil visualizações,https://www.youtube.com/watch?v=6CdnLIqthAI
145,Só os preparados vão sobreviver ao APOCALIPSE ROBÔ,84 mil visualizações,https://www.youtube.com/watch?v=nq_m-NxBjf8
146,Maconha liberada em São Paulo pra uso medicinal,92 mil visualizações,https://www.youtube.com/watch?v=oV7RczTev1I
147,The Last of Us x Anéis de Poder - Por que uma é boa e outra é ruim?,228 mil visualizações,https://www.youtube.com/watch?v=T95x46DAE5Q
148,NOSSA VERDADEIRA CASA DE HOGWARTS!,176 mil visualizações,https://www.youtube.com/watch?v=gBl6t9N5KDY
149,COM BARBA ou SEM BARBA? O SEGREDO REVELADO,95 mil visualizações,https://www.youtube.com/watch?v=5N50hu7EkFk
150,YOUTUBE SOB NOVO COMANDO! E agora?,260 mil visualizações,https://www.youtube.com/watch?v=jI_T10Zq7J4
151,FILOSOFIA!,117 mil visualizações,https://www.youtube.com/watch?v=5_AgKvQOu2k
152,COMPREI um BARALHO DE MAGIC!,198 mil visualizações,https://www.youtube.com/watch?v=3WC96c0vMyw
153,CONVERSAMOS com uma INTELIGÊNCIA ARTIFICIAL! - ChatGPT,171 mil visualizações,https://www.youtube.com/watch?v=dO9lcQyHRb0
154,O QUE podem ser os UFOs DERRUBADOS no CANADÁ?,87 mil visualizações,https://www.youtube.com/watch?v=97uveS910J8
155,SÓ SEI QUE NADA SEI!,149 mil visualizações,https://www.youtube.com/watch?v=K40KHN69wIM
156,MINHA PRIMEIRA VEZ NO NORDESTE!,171 mil visualizações,https://www.youtube.com/watch?v=7T91xv9-8KI
157,Estão EXPLORANDO os homens com mentiras,268 mil visualizações,https://www.youtube.com/watch?v=6LVtJdZdBWg
158,NÃO DEIXE NINGUÉM TE PAUTAR!,96 mil visualizações,https://www.youtube.com/watch?v=AN85RwEPdlc
159,O XBOX vai ABANDONAR O BRASIL?,91 mil visualizações,https://www.youtube.com/watch?v=tRxpD1lM-kE
160,O MOLEQUE NÃO CONSEGUIA ESCREVER O PRÓPRIO NOME!,104 mil visualizações,https://www.youtube.com/watch?v=dK-eNMpTB40
161,A FILOSOFIA GREGA ESTÁ EM TODO LUGAR!,83 mil visualizações,https://www.youtube.com/watch?v=5gAqzGoYSzc
162,MINHA BANDA FAVORITA!,102 mil visualizações,https://www.youtube.com/watch?v=fAu9-Lj3Qag
163,VOLTEI A ESTUDAR!,110 mil visualizações,https://www.youtube.com/watch?v=1jYYhAK94MU
164,QUAL É A RECEITA DO SUCESSO?,101 mil visualizações,https://www.youtube.com/watch?v=F5YOhmitfHI
165,FOMOS INTIMADOS A JOGAR TERMO E...,94 mil visualizações,https://www.youtube.com/watch?v=rAdPMYpXRxA
166,VAMOS VOLTAR PARA O BRASIL?,347 mil visualizações,https://www.youtube.com/watch?v=5b15ci8U5dE
167,"O ACERTO MAIS IMPROVÁVEL NO ""TERMO""",116 mil visualizações,https://www.youtube.com/watch?v=3THEMkWH1hA
168,"QUAL É O MELHOR? - Mac, Linux ou Windows",87 mil visualizações,https://www.youtube.com/watch?v=nNszEwq1s4Q
169,"FIZERAM UM ""TERMO"" PRA GENTE!",276 mil visualizações,https://www.youtube.com/watch?v=w5E-9mf7VaY
170,EU NÃO SEI FILME ANTIGO! - Moviedle e Framed,90 mil visualizações,https://www.youtube.com/watch?v=DAhEoduimMo
171,"NOSSA MELHOR COLOCAÇÃO NO ""WIKITRIVIA""!",166 mil visualizações,https://www.youtube.com/watch?v=sIh7D87Ve9g
172,PEDIDO DE NAMORA NA LIVE!,43 mil visualizações,https://www.youtube.com/watch?v=4JxuNInYxhE
173,"NUNCA TIVE TANTA SORTE NO ""TERMO""",85 mil visualizações,https://www.youtube.com/watch?v=PNYGLPNyDLM
174,ELA ME TROCOU PELO DORAMA!,187 mil visualizações,https://www.youtube.com/watch?v=1F0mwC_bPP8
